"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"1","Santa Inés","Fútbol Arena","Cra 4 W Calle 34 - 33","https://goo.gl/maps/S7yfzSvbw5tWvmAp8"
"1","Santa Inés","Baloncesto","Cra 4 W Calle 30","https://goo.gl/maps/zVnNzcTTevZWuQscA"
"1","Santa Inés","Microfútbol","Cra 4 W Calle 30","https://goo.gl/maps/rTRCjY9ynta7Hkn38"
"1","Cándido","Cancha Sintética de Fútbol","Cra 2 Calle 28","https://goo.gl/maps/5qgv2Hsn3kBFAxu19"
"1","Cándido 1 Etapa","Baloncesto","Cl. 36 #1a-2 a 1a-72","https://goo.gl/maps/eZfNp2hcwjNWJ1t19"
"1","Cándido 1 Etapa","Voleibol Arena","Cra 1 C Calle 41","https://goo.gl/maps/RxdLNw7RrVebgKPL8"
"1","Cándido 1 Etapa","Minifútbol","Cra 1 C Calle 41","https://goo.gl/maps/uSSdq3K4XZJDSydA8"
"1","Cándido 1- 2 - 3 - 4 Etapa","Minifútbol","Cra 1 C Calle 45","https://goo.gl/maps/VomrEfVh12r3oB3S8"
"1","Cándido 1- 2 - 3 -4 Etapa","Minifútbol","Cra 1 C Calle 51","https://goo.gl/maps/B3W9Muyy7biGY8LK7"
"1","Cándido 5 Etapa","Minifútbol","Cra 1 D Calle 53","https://goo.gl/maps/yj4KUXmfPfx1x4V8A"
"1","Cándido 1 Etapa","Polideportivo","Cra 1 C Calle 36","https://goo.gl/maps/MF8XpoiWi9D8zJYY9"
"1","Cándido 1 Etapa","Polideportivo","Cra 1 C Calle 41","https://goo.gl/maps/aHMAv8YvwyMvGZzaA"
"1","Cándido  2 - 3 -4 Etapa","Polideportivo","Cra 1 C Calle 45","https://goo.gl/maps/siwGeToE1DesNU126"
"1","Cándido 5 Etapa","Polideportivo","Cra 1 D Calle 53","https://goo.gl/maps/WfFLnxAqNfTPkbzbA"
